cleanTweets,sentiment,neg,neu,pos
We launch kindness campai n John Ma ee try et Costa ive free coffee every teacher country,positive,0.0,0.69,0.31
use link treat us xx Use Costa app like et bean start first purchase Costa handcrafted drink That halfway towards free one,positive,0.0,0.691,0.309
After release new video costa coffee empoyin costa coffee stocks plummeted,neutral,0.0,1.0,0.0
Costa Coffee Drive Thru Mecca,neutral,0.0,1.0,0.0
Never use Costa coffee shop always use local cafes far better value,positive,0.0,0.654,0.346
Eh need say orderin coffee Costa West coasters nae clue,neutral,0.0,1.0,0.0
COSTA COFFEE,neutral,0.0,1.0,0.0
A Costa coffee shop shuttin town woolworths shut way explain anywhere say stopped takin calls say I one needs help Your ry attemptin effect secret hobby,positive,0.071,0.827,0.102
customer costa rican coffee know read customer boss would fired ri ht well ood thin boss huh,negative,0.174,0.725,0.101
If people want coffee pub Nescafe Instant nothin Or Costa,positive,0.0,0.874,0.126
The breathtakin seaside escape Costa Smeralda bein celebrated eous volume Assouline,positive,0.0,0.625,0.375
Keena Costa She would make super cute little pastry cakes would also rarely work coffee know onna perfect coffee,positive,0.0,0.602,0.398
Costa sort burned caramel coffee ish flavour hits tastebuds Need three shots et coffee milk Same Starbucks prefer coffee taste I et,neutral,0.0,1.0,0.0
I lovely cooked breakfast B amp B mornin coffee beach stroll around town decided come home weather turned Stopped local hi h street drink free birthday bun Costa,positive,0.063,0.7,0.237
London I work ie coffee chains vs Welsh borders I live Black Sheep Nero Starbucks Costa Pret would cross street Welsh borders Coffee Number Errrr,positive,0.0,0.944,0.056
A quick coffee break Costa Coffee Al Farwaniyah,neutral,0.0,1.0,0.0
I put petrol mistake I otta diesel mp litre I reckon car runs EV day plus I otta sit services hour overpayin Costa crap coffee sommats indelible taste,negative,0.185,0.815,0.0
Italian Blend coffee delicious combination Costa Rican coffee offerin smooth Italian Roast richness w complements chocolaty characteristics found French Roast Order Now,positive,0.0,0.734,0.266
