Tweets,CleanedTweets,remove_Emojis,remove_nonEnglish,remove_unrelated_chars,remove_stopwords,cleanTweets,polarity,subjectivity,sentiment,neg,neu,pos,compound
@chrisdysonHT @SafeSENCOSaeed @BrightLeadChris @KindnessCoach_ @RockKidzUK @maximjkelly @DhoonSchool @WillastonSchool @iomsteampacket @EdRoundtables @johnjackson1066 @julie_cass1 @DeputySchofield @richreadalot @ManxRadio @iomdesc @CostaCoffee We should launch a kindness campaign with John Magee and try and get Costa to give a free coffee to every teacher in the country!,                 We should launch a kindness campaign with John Magee and try and get Costa to give a free coffee to every teacher in the country!,                 We should launch a kindness campai n with John Ma ee and try and  et Costa to  ive a free coffee to every teacher in the country ,                 We should launch a kindness campai n with John Ma ee and try and  et Costa to  ive a free coffee to every teacher in the country ,                 We should launch a kindness campai n with John Ma ee and try and  et Costa to  ive a free coffee to every teacher in the country ,We launch kindness campai n John Ma ee try et Costa ive free coffee every teacher country,We launch kindness campai n John Ma ee try et Costa ive free coffee every teacher country,0.4,0.8,positive,0.0,0.69,0.31,0.743
"#Costa use my link to treat us both xx

Use the Costa app like me and get 1 bean to start, then 5 more with your first purchase of a Costa handcrafted drink. That’s halfway towards a free one. https://t.co/5ALCeVXCtN"," use my link to treat us both xx

Use the Costa app like me and get 1 bean to start, then 5 more with your first purchase of a Costa handcrafted drink. That’s halfway towards a free one. ", use my link to treat us both xx  Use the Costa app like me and  et 1 bean to start  then 5 more with your first purchase of a Costa handcrafted drink  That s halfway towards a free one  , use my link to treat us both xx  Use the Costa app like me and  et  bean to start  then  more with your first purchase of a Costa handcrafted drink  That s halfway towards a free one  , use my link to treat us both xx  Use the Costa app like me and  et  bean to start  then  more with your first purchase of a Costa handcrafted drink  That s halfway towards a free one  ,use link treat us xx Use Costa app like et bean start first purchase Costa handcrafted drink That halfway towards free one,use link treat us xx Use Costa app like et bean start first purchase Costa handcrafted drink That halfway towards free one,0.325,0.5666666666666667,positive,0.0,0.691,0.309,0.8176
"After the release of a new video of costa coffee empoying ,costa coffee stocks have plummeted https://t.co/o3B8Ftcgn8","After the release of a new video of costa coffee empoying ,costa coffee stocks have plummeted ",After the release of a new video of costa coffee empoyin   costa coffee stocks have plummeted ,After the release of a new video of costa coffee empoyin   costa coffee stocks have plummeted ,After the release of a new video of costa coffee empoyin   costa coffee stocks have plummeted ,After release new video costa coffee empoyin costa coffee stocks plummeted,After release new video costa coffee empoyin costa coffee stocks plummeted,0.13636363636363635,0.45454545454545453,neutral,0.0,1.0,0.0,0.0
"مع هشام باشا مبسوط أوي @ahyani99 😍😍 (@ Costa Coffee | Drive Thru in جدة, Mecca) https://t.co/9uj3CRJaB0 https://t.co/nJAksKrqqL","مع هشام باشا مبسوط أوي  😍😍 ( Costa Coffee | Drive Thru in جدة, Mecca)  ",مع هشام باشا مبسوط أوي       Costa Coffee   Drive Thru in جدة  Mecca   ,           Costa Coffee   Drive Thru in   Mecca   ,           Costa Coffee   Drive Thru in   Mecca   ,Costa Coffee Drive Thru Mecca,Costa Coffee Drive Thru Mecca,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"@ChronicleLive Never use Costa or any of the other coffee shop, always use local cafes far better value."," Never use Costa or any of the other coffee shop, always use local cafes far better value.", Never use Costa or any of the other coffee shop  always use local cafes far better value , Never use Costa or any of the other coffee shop  always use local cafes far better value , Never use Costa or any of the other coffee shop  always use local cafes far better value ,Never use Costa coffee shop always use local cafes far better value,Never use Costa coffee shop always use local cafes far better value,0.19999999999999998,0.5,positive,0.0,0.654,0.346,0.6486
"@brougher1 @bumbleysmum Eh'll need to say it when ordering coffee from Costa here, West coasters will have nae clue 🤣🤣","  Eh'll need to say it when ordering coffee from Costa here, West coasters will have nae clue 🤣🤣",  Eh ll need to say it when orderin  coffee from Costa here  West coasters will have nae clue   ,  Eh ll need to say it when orderin  coffee from Costa here  West coasters will have nae clue   ,  Eh ll need to say it when orderin  coffee from Costa here  West coasters will have nae clue   ,Eh need say orderin coffee Costa West coasters nae clue,Eh need say orderin coffee Costa West coasters nae clue,0.0,0.0,neutral,0.0,1.0,0.0,0.0
@OliLondonTV COSTA COFFEE for me now -, COSTA COFFEE for me now -, COSTA COFFEE for me now  , COSTA COFFEE for me now  , COSTA COFFEE for me now  ,COSTA COFFEE,COSTA COFFEE,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"@GeneralTwattery @Asuryan12 @KitGregson @PymPurnell A Costa coffee shop is 'shutting down' in our town woolworths 'shut down' no other way to explain it and not anywhere does it say they stopped taking calls, you say I'm the one that needs help. Your angry because we are attempting to effect your secret hobby.","    A Costa coffee shop is 'shutting down' in our town woolworths 'shut down' no other way to explain it and not anywhere does it say they stopped taking calls, you say I'm the one that needs help. Your angry because we are attempting to effect your secret hobby.",    A Costa coffee shop is  shuttin  down  in our town woolworths  shut down  no other way to explain it and not anywhere does it say they stopped takin  calls  you say I m the one that needs help  Your an ry because we are attemptin  to effect your secret hobby ,    A Costa coffee shop is  shuttin  down  in our town woolworths  shut down  no other way to explain it and not anywhere does it say they stopped takin  calls  you say I m the one that needs help  Your an ry because we are attemptin  to effect your secret hobby ,    A Costa coffee shop is  shuttin  down  in our town woolworths  shut down  no other way to explain it and not anywhere does it say they stopped takin  calls  you say I m the one that needs help  Your an ry because we are attemptin  to effect your secret hobby ,A Costa coffee shop shuttin town woolworths shut way explain anywhere say stopped takin calls say I one needs help Your ry attemptin effect secret hobby,A Costa coffee shop shuttin town woolworths shut way explain anywhere say stopped takin calls say I one needs help Your ry attemptin effect secret hobby,-0.4,0.7,positive,0.071,0.827,0.102,0.2023
"customer: what's the costa rican coffee?
me: i don't know. read it
customer: if i were your boss i would've fired you right there
me: well good thing you're not my boss huh","customer: what's the costa rican coffee?
me: i don't know. read it
customer: if i were your boss i would've fired you right there
me: well good thing you're not my boss huh",customer  what s the costa rican coffee  me  i don t know  read it customer  if i were your boss i would ve fired you ri ht there me  well  ood thin  you re not my boss huh,customer  what s the costa rican coffee  me  i don t know  read it customer  if i were your boss i would ve fired you ri ht there me  well  ood thin  you re not my boss huh,customer  what s the costa rican coffee  me  i don t know  read it customer  if i were your boss i would ve fired you ri ht there me  well  ood thin  you re not my boss huh,customer costa rican coffee know read customer boss would fired ri ht well ood thin boss huh,customer costa rican coffee know read customer boss would fired ri ht well ood thin boss huh,-0.4,0.8500000000000001,negative,0.174,0.725,0.101,-0.3612
@reprobatepress @anon_opin If people want a coffee in a pub it should be Nescafe Instant or nothing. Or they can **** off to Costa.,  If people want a coffee in a pub it should be Nescafe Instant or nothing. Or they can **** off to Costa.,  If people want a coffee in a pub it should be Nescafe Instant or nothin   Or they can      off to Costa ,  If people want a coffee in a pub it should be Nescafe Instant or nothin   Or they can      off to Costa ,  If people want a coffee in a pub it should be Nescafe Instant or nothin   Or they can      off to Costa ,If people want coffee pub Nescafe Instant nothin Or Costa,If people want coffee pub Nescafe Instant nothin Or Costa,0.0,0.6666666666666666,positive,0.0,0.874,0.126,0.0772
